,lat,lon,x_ew,y_ns,z_depth,slip,rake,trup,trise,sf_moment
196,-3.4513,101.0453,102.6723,-1.4457,33.1278,0.0931,109.9358,82.8,7.6,9.43e+17
197,-3.3407,100.9678,94.0874,10.8604,33.1278,0.0923,130.88,75.6,1.9,9.35e+17
198,-3.2301,100.8902,85.4836,23.1657,33.1278,0.0117,118.8193,69.2,9.5,1.18e+17
199,-3.1195,100.8126,76.8777,35.4701,33.1278,0.0266,98.6441,66.0,7.6,2.69e+17
200,-3.009,100.7351,68.2808,47.7626,33.1278,0.096,71.8595,67.0,7.6,9.72e+17
201,-2.8984,100.6575,59.6708,60.0654,33.1278,0.0965,72.9407,68.8,5.7,9.78e+17
202,-2.7878,100.5799,51.0589,72.3674,33.1278,0.0045,130.3185,72.0,9.5,4.59e+16
203,-2.6772,100.5023,42.445,84.6687,33.1278,0.0975,77.6887,78.6,7.6,9.87e+17
204,-2.5667,100.4248,33.8405,96.9582,33.1278,0.0012,79.4781,87.6,7.6,1.19e+16
205,-2.4561,100.3472,25.223,109.258,33.1278,0.0002,95.8393,95.8,7.6,2520000000000000.0
206,-2.3455,100.2696,16.6039,121.5572,33.1278,0.0692,106.1194,103.6,9.5,7.01e+17
207,-2.2349,100.1921,7.9943,133.8557,33.1278,0.0847,120.7452,112.0,3.8,8.58e+17
208,-2.1243,100.1145,-0.628,146.1536,33.1278,0.067,74.1226,119.2,3.8,6.79e+17
209,-2.0138,100.0369,-9.2518,158.4398,33.1278,0.0077,85.4224,125.2,7.6,7.82e+16
